    2,Pallavi                                          ,nurse              ,Night    ,  50000.00,9743076146    ,D
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
    1,likhitha                                         ,tech               ,Day      ,  25000.00,7894561357    ,A
